news_outlet;provenance;query_keywords;creation_date;last_modified;crawl_date;author_person;author_organization;news_keywords;content_title;content_description;content_body;Fake News;Extreme bias;clickbait;credible
krone;https://www.krone.at/3450771;sp, us, ss, ns;10.07.2024;;22.10.2024;;;;Gehälter: Ab wann Sie zum reichsten Viertel zählen;Die neuesten Zahlen der Personal- und Managementberatungsfirma Kienbaum zeigen, wie viel Fachkräfte mit Lehre, Spezialisten, Teamleiter, ...;;0;0;0;1
krone;https://www.krone.at/3553567;us, sp, spo, ns, ss;09.10.2024;;22.10.2024;;;;Philipp bewegt jetzt auch Österreichs Schulen!;Die tägliche Bewegungseinheit auf krone.tv mit Philipp Jelinek kommt heute aus der Sportmittelschule Wendstattgasse und die Schülerinnen und Schüler ...;;0;0;0;1
krone;https://www.krone.at/3535044;us, hamas, sp, rna, ns, israel, terror, ss;23.09.2024;;22.10.2024;;;;Luftangriff erfolgreich? Rätselraten um Hamas-Chef;Der Drahtzieher des Anschlags vom 7. Oktober auf Israel und nunmehrige Hamas-Chef Yahya Sinwar ist seit Kurzem von der Bildfläche verschwunden. ...;;0;0;1;0
krone;https://www.krone.at/3561198;europa, us, sp, spo, leiche, ns, ss;17.10.2024;;22.10.2024;;;;„Ich vergleiche die ACSL mit der Champions League“;Startschuss für die neue Saison der ACSL (Austrian College Sports League). Knapp 7000 Studenten pilgerten vergangenen Samstag an die Hohe Warte, um ...;;;;;
krone;https://www.krone.at/2334016;europa, us, sp, corona, ns, ss;03.02.2021;;22.10.2024;;;;Freitesten bleibt, Testpflicht für Pendler;Pendler müssen sich künftig registrieren und einem Coronavirus-Test unterziehen. Das geht aus der neuen Einreise-Verordnung hervor, die am ...;;;;;
krone;https://www.krone.at/2583364;us, sp, spo, ukraine, usa, ns, ss;16.12.2021;;22.10.2024;;;;Aufmarsch russischer Truppen nahe der Ukraine;Dominierendes Thema beim EU-Gipfeltreffen der östlichen Partnerschaft waren die Spannungen mit Moskau und der russische Truppenaufmarsch an der ...;;;;;
krone;https://www.krone.at/2325951;demo, schi, us, regierung, sp, rna, spo, ns, usa, politik, ss;24.01.2021;;22.10.2024;;;;Russland: Über 3400 Festnahmen bei Mega-Protesten;In Moskau und zahlreichen weiteren russischen Städten sind Tausende Menschen dem Aufruf des inhaftierten Oppositionspolitikers Alexej Nawalny zum ...;;0;0;0;1
krone;https://www.krone.at/2324593;demo, us, sp, corona, ns, pandemie, ss;22.01.2021;;22.10.2024;;;;Nawalny-Sprecherin kurz vor Protesten inhaftiert;Kurz nach der umstrittenen Inhaftierung des Kremlkritikers Alexej Nawalny wurde nun auch dessen Pressesprecherin Kira Jarmisch arretiert. Nach einem ...;;0;0;0;1
krone;https://www.krone.at/2322113;demo, schi, us, regierung, sp, spo, corona, ns, politik, pandemie, ss;19.01.2021;;22.10.2024;;;;Nawalny schlägt zurück: Video zu Putins „Palast“;Das Team von Alexej Nawalny hat einen Tag nach dessen Inhaftierung eine groß angelegte Recherche über einen angeblichen superteuren Geheimpalast des ...;;;;;
krone;https://www.krone.at/2594597;europa, us, sp, rna, integration, ns, usa, politik, klima, ss;02.01.2022;;22.10.2024;;;;30 Jahre nach dem Ende: Sowjetunion nur scheintot;Russland steht vor der Wiederauferstehung als Störfaktor, während Kreml-Chef Putin weiter um den Großmachtstatus des Landes kämpft. Tatsächlich ist ...;;0;0;0;1
krone;https://www.krone.at/2413081;us, regierung, sp, spo, usa, ns, ss;13.05.2021;;22.10.2024;;;;US-Pipeline nach Cyberangriff wieder in Betrieb;Die größte Benzin-Pipeline in den USA hat den Betrieb nach einem Hackerangriff schrittweise wieder aufgenommen. Das teilte die Betreibergesellschaft ...;;;;;
krone;https://www.krone.at/2580927;europa, us, regierung, rna, krieg, ukraine, ns, usa, ss;14.12.2021;;22.10.2024;;;;Klitschko warnt vor russischem Angriff auf Ukraine;Der Bürgermeister der ukrainischen Hauptstadt Kiew, Vitali Klitschko, hat vor einer russischen Invasion gewarnt. „Wir bereiten uns in der ganzen ...;;;;;
krone;https://www.krone.at/2566070;europa, grenzen, us, regierung, sp, rna, krieg, ukraine, ns, usa, linke, ss, angela merkel;26.11.2021;;22.10.2024;;;;Ukraine: Gerüchte um Putsch und Angriff Russlands;In der Ukraine brodelt es: Wochenlang hat es Berichte über russische Militäraktivitäten an der Grenze gegeben, nun hat die NATO Russland vor einem ...;;;;;
krone;https://www.krone.at/3554939;us, regierung, sp, krieg, frankreich, ukraine, ns, ss, olaf scholz;10.10.2024;;22.10.2024;;;;Selenskyj für „Siegesplan“ auf großer Europa-Tour;Wolodymyr Selenskyj steht am Donnerstag und am Freitag eine Marathon-Tour durch europäische Staaten bevor. In zwei Tagen wird der ukrainische ...;;;;;
krone;https://www.krone.at/2300966;us, sp, usa, ns, ss;18.12.2020;;22.10.2024;;;;Auch Microsoft von Hackerangriff in USA betroffen;Von dem jüngsten Hackerangriff in den USA sind nicht nur Ministerien und Behörden, sondern auch Microsoft betroffen. Das Unternehmen bestätigte am ...;;;;;
