news_outlet;provenance;query_keywords;creation_date;last_modified;crawl_date;author_person;author_organization;news_keywords;content_title;content_description;content_body;Fake News;Extreme bias;clickbait;credible;
kurier;https://kurier.at/chronik/oberoesterreich/verkehr-linz-radwege-mobilitaet-unfaelle-statistik-fussgaengerinnen/402966407;ns, övp, us, ss, schi, sp;23.10.2024;nan;24.10.2024;23.10.24, 14:40;;;Mehr Unfälle mit Menschen auf Rädern in Linz: Radwege ausbauen und absichern;Unfälle gesamt rückläufig, gleich viele Autos in den letzten drei Jahren trotz steigender Einwohnerzahlen.;Es tut sich was und dabei ist noch viel Luft nach oben. Mobilität in Städten ist ein komplexes Thema. Nun präsentierte Mobilitätsreferent und Linzer Vize-Bürgermeister Martin Hajart (ÖVP) aktuelle Unfallzahlen. Dabei gibt es Grund zur Freude und Grund zur Sorge. Zuerst die guten Nachrichten: Seit 2017 ist die Gesamtzahl der Straßenunfälle in Linz von 1.125 auf 1062 gesunken, das ist ein Minus von sechs Prozent. Und das, obwohl die Anzahl der PKW in der Stadt seit 2017 um immerhin fünf Prozent gewachsen ist. Nur in den vergangenen drei Jahren ist das Niveau gleichbleibend bei ungefähr 106.000 angemeldeten Autos.;0;0;0;1;
kurier;https://kurier.at/chronik/wien/christian-kern-luxus-villa-doebling-millionen-kanzler-winzerhaus/402966498;rki, ns, us, ss, klima, sp;23.10.2024;nan;24.10.2024;23.10.24, 15:56;;;Für 3,65 Millionen Euro: Ex-Kanzler Kern verkauft seine Luxus-Villa;Christian Kern verkauft seine Luxus-Villa für 3,65 Millionen Euro. Das Interesse ist groß, Käufer wurde aber noch keiner gefunden.;Ex-Bundeskanzler Chrisitan Kern trennt sich endgültig von seinem Anwesen in Wien-Döbling. Die prunkvolle Villa, die Kern einst gemeinsam mit seiner damaligen Ehefrau Eveline Steinberger-Kern erworben hatte, steht nun für 3,65 Millionen Euro zum Verkauf. Das rund 250 Quadratmeter große Haus liegt in bester Lage des 19. Wiener Gemeindebezirks und bietet neben einer großzügigen Wohnfläche auch eine idyllische Gartenanlage samt Pool.;0;0;0;1;
kurier;https://kurier.at/politik/inland/fpoe-herbert-kickl-nationalratswahl-volkskanzler-regierungsbeteiligung/402912217;abschiebung, rna, usa, neos, sp, rki, inflation, strache, familie, fpö, migration, ibiza-video, ns, demo, pandemie, ss, corona, övp, christ, us, schi, regierung, herbert kickl;13.06.2024;nan;24.10.2024;13.06.24, 10:12;;;Blaue Szenarien: Wie Kickl die FPÖ in die Regierung bringen will;Motiviert durch das historische gute EU-Wahlergebnis setzen die Freiheitlichen auf eine Person und mehrere Strategien, was nach dem 29. September passieren soll - und womöglich wird. ;"Querschüsse? Handwerkliche Fehler? Obmann-Debatten? Fehlanzeige! ""Wie Jörg Haider nach dem Sturz von Norbert Steger, wie Heinz-Christian Strache nach der BZÖ-Gründung hat Herbert Kickl, nachdem Norbert Hofer hingeschmissen hat, die Reihen geschlossen"", sagt ein ranghoher FPÖ-Mann, der die Höhe- und Tiefpunkte der FPÖ - vom Parteitag in Innsbruck 1986 über die Regierungsbeteiligung inklusive EU-Sanktionen (1999), über Liederbuch-Affäre und Ibiza-Video bis hin zum Wieder-Erstarken des Dritten Lagers zuletzt bei der EU-Wahl - miterlebt hat. Kickl ist drei Jahre nach Übernahme der Parteiführung ""vollkommen unumstritten"", so der Tenor der vom KURIER befragten Funktionäre, die alle nicht genannt werden wollen. ""Wir diskutieren wenn, dann intern"", heißt es. Schließlich sei man nicht die SPÖ und habe aus der Vergangenheit gelernt. Als Klubchef Kickl im Juni 2021 gleichsam über Nacht die Partei von Norbert Hofer übernahm, da war die Situation eine andere. Corona-Demonstration Herbert Kickl Einige Länderorganisationen hatten Bedenken gegenüber Kickl. Allen voran Oberösterreichs Landeschef Manfred Haimbuchner und Wiens Landeschef Dominik Nepp. Ihnen missfiel insbesondere der scharf Kurs gegen die Corona-Maßnahmen. ""Im Nachhinein betrachtet hat Kickl aber in vielen Punkten recht behalten“, formuliert es ein Länder-Funktionär, der in den Pandemie-Jahren nicht damit gerechnet hätte, dass sich mit dem 56-Jährigen als Chef derartige Wahlerfolge erzielen ließen. Er ist damit nicht allein. Deshalb gebe es auch keinerlei Notwendigkeit, die FPÖ in Hinblick auf die Nationalratswahl personell breiter aufzustellen, wie Politologen und Meinungsforscher argumentieren. Und, wie es auch der politische Spin des Mitbewerbs besagt. FPÖ-Gegner erzählen neuerdings gerne über das angebliche Vorhaben, dass Kickl auf das ein oder andere Fernseh-Duell während des NR-Wahlkampfs verzichten werde, um zu zeigen, dass die FPÖ mehr als das Wahlkampfthema Migration und ihn als Person zu bieten habe. ObVerfassungssprecherin und außenpolitische Sprecherin Susanne Fürst, Salzburgs Landeschefin Marlene Svazek oder Nationalratsmandatarin Dagmar Belakowitsch in den Medien öfter und statt dem FPÖ-Chef vorkommen werden - das will man in der FPÖ weder bestätigen noch negieren. ""Kann sein, muss nicht sein"", ""Schau ma mal"" - so die Antwort in Abwandlungen. ""Es mag sein, dass Kickl nicht besonders sympathisch rüberkommt, dafür weiß man, woran man bei ihm ist"", so der einhellige Tenor. Kickl ist der freiheitliche Frontmann, der die Partei auf Kurs und ihr fortlaufend Wahlerfolge gebracht hat. Der auf- und antritt, um ""Volkskanzler"" zu werden. Ohne den es die FPÖ nicht gibt. ""Wir haben uns den Herbert 2019 nicht rausschießen lassen und wir werden ihn nie und nimmer wegen einer Regierungsbeteiligung fallen lassen.""";0;0;0;1;
kurier;https://kurier.at/chronik/niederoesterreich/noe-weniger-unfaelle-aber-mehr-rowdys/401184448;ns, lockdown, us, pandemie, ss, corona, sp;10.02.2021;nan;24.10.2024;10.02.21, 16:11;;;NÖ: Weniger Unfälle, aber mehr Rowdys;Zwar krachte es auf Niederösterreichs Straßen deutlich weniger oft, dafür gibt es immer mehr Drängler.;Die Pandemie wirkt sich auf alle Lebensbereiche aus – auch auf die Sicherheit. Allerdings erzeugt Corona hier einen positiven Effekt, denn im Vorjahr sind die Kriminalitätszahlen deutlich gesunken. Gründe dafür sind die Lockdowns und die verschärften Grenzkontrollen . Im Straßenverkehr wird ein ähnliches Phänomen beobachtet. Am Mittwoch berichtete SPÖ-Landesvize Franz Schnabl, dass im Jahr 2020 in Niederösterreich rund 17 Prozent weniger Verkehrsunfälle mit Sachschaden (48.019) registriert wurden. Zu tun gibt es für die Exekutive dennoch mehr als genug, wie die präsentierte Bilanz zeigt. SPÖ-Landesvize Franz Schnabl So ergaben sich aus den 211.720 durchgeführten Alkotests 3.980 Anzeigen, 866 Personen wurden wegen einer Suchtmittelbeeinträchtigung angezeigt. Laut Ferdinand Zuser, Leiter der Landesverkehrsabteilung NÖ, gab es zudem 937.969 Geschwindigkeitsüberschreitungen, 27.280 Personen wurden für zu geringen Sicherheitsabstand bestraft.;0;0;0;1;
kurier;https://kurier.at/chronik/niederoesterreich/sankt-poelten/golf-wunder-in-st-poelten-84-jaehriger-schafft-hole-in-one/401773503;ns, sp, us;18.10.2021;nan;24.10.2024;18.10.21, 09:41;;;Golf-Wunder in St. Pölten: 84-Jähriger schafft Hole-in-one;Bei einem Turnier im Golfclub Goldegg gelang Kurt Wippl eine kleine Sensation. Dafür wurde er ordentlich belohnt.  ;"Der KURIER berichtet verstärkt aus der Landeshauptstadt St. Pölten. Wenn Sie über alle wichtigen Themen in der Stadt informiert bleiben wollen, dann können Sie sich hier oder am Ende des Artikels für den wöchentlichen Newsletter ""Ganz St. Pölten"" anmelden. Seit 25 Jahren spielt Kurt Wippl Golf, jetzt gelang dem 84-Jährigen auf der Anlage in Goldegg ein kleines Wunder. Mit einem Schlag beförderte der Senior bei einem Turnier den Ball ins Loch (einem Par-3-Loch), in der Sprache der Golfer auch Hole-in-one genannt. Die Wahrscheinlichkeit für einen Amateur, ein Hole-in-One zu erzielen, beträgt laut dem Online-Portal Golf Digest 12.500 zu 1. In Prozent ausgedrückt sind dies 0,008%. Wippl wurde für seinen Kunstschlag jedenfalls ordentlich belohnt. Er gewann nicht nur einen Mazda im Wert von 36.000 Euro, auch Bürgermeister Matthias Stadler stellte sich als Gratulant ein. „Wippl ist ein hervorragender Botschafter der Fittest City St. Pölten"", so Stadler.";0;0;0;1;
kurier;https://kurier.at/politik/ausland/suedafrika-setzt-einsatz-von-astrazeneca-impfstoff-aus/401181229;mrna, ns, us, impfstoff, rna, ss, afrika, sp;07.02.2021;nan;24.10.2024;07.02.21, 21:48;;;Südafrika setzt Einsatz von AstraZeneca-Impfstoff aus;Wissenschafter beraten nun über die Wirksamkeit des Stoffs, der bei einer mild verlaufenden Infektion nur wenig Schutz bieten soll.;"Südafrika wird den Einsatz des Impfstoffes des britisch-schwedischen Konzerns AstraZeneca aussetzen, solange Wissenschafter über die beste Verwendung der Arznei beraten. Das kündigte Gesundheitsminister Zweli Mkhize am Sonntag in Pretoria an. Zuvor hatte AstraZeneca eingeräumt, der Impfstoff biete nur begrenzten Schutz bei einer mild verlaufenden Infektion mit der südafrikanischen Variante des Virus, das sich jüngst auch in Tirol stark ausgebreitet hat. ""Wir glauben, dass unser Impfstoff gegen eine schwere Erkrankung schützen kann, da die Aktivität neutralisierender Antikörper genauso funktioniert wie bei anderen Covid-19-Vakzinen, die gegen schwerere Erkrankungen funktionieren - besonders wenn der Abstand zwischen den beiden Dosen auf acht bis zwölf Wochen optimiert ist"", sagte ein Sprecher von AstraZeneca der Financial Times. Zudem arbeiten AstraZeneca und die Universität Oxford bereits daran, ihren Impfstoff den kursierenden Virus-Varianten weiter anzupassen. Für die in Großbritannien entdeckte Variante B.1.1.7 hatten die Hersteller zuletzt vielversprechende Daten veröffentlicht: Das Vakzin soll gegen diese Variante eine gute Schutzwirkung bieten. Das britisch-schwedische Vakzin spielt eine wesentliche Rolle im österreichischen Impfplan. Eine erste Lieferung mit 36.000 Dosen ist in der Nacht auf Samstag in Österreich eingetroffen, bis Ende März sollen es 700.000 Dosen sein. Studien bescheinigen dem Impfstoff schon gegen die herkömmliche Virusvariante eine deutlich geringere Wirksamkeit als andere Impfstoffe. Österreich setzt aber stark auf AstraZeneca, weil der Impfstoff leichter zu verabreichen ist als die mRNA-Vakzine.";0;0;0;1;
kurier;https://kurier.at/chronik/niederoesterreich/sankt-poelten/st-poelten-alles-was-sie-zur-gemeinderatswahl-wissen-muessen/401131995;ns, övp, us, ss, schi, neos, corona, sp, fpö;16.12.2020;nan;24.10.2024;16.12.20, 17:43;;;St. Pölten: Alles, was Sie zur Gemeinderatswahl wissen müssen;Sechs Parteien werden antreten, der Magistrat rät, einen eigenen Kugelschreiber mitzunehmen.;"Der KURIER berichtet ab sofort verstärkt aus der Landeshauptstadt St. Pölten. Wenn Sie über alle wichtigen Themen in der Stadt informiert bleiben wollen, dann können Sie sich hier oder am Ende des Artikels für den wöchentlichen Newsletter ""Ganz St. Pölten"" anmelden. Bei der Gemeinderatswahl in St. Pölten am 24. Jänner werden mit SPÖ, ÖVP, FPÖ, Grüne, NEOS und der KPÖ sechs Parteien antreten. Der (heutige) Mittwoch ist der Endtermin für die Einbringung der Wahlvorschläge gewesen. 46.621 Stimmberechtigte sind in der niederösterreichischen Landeshauptstadt zum Urnengang aufgerufen.";;;;;
kurier;https://kurier.at/chronik/oesterreich/terrorermittlungen-bereits-101-beschuldigte-in-der-causa-muslimbrueder/401176231;terror, ns, hamas, islamisch, nazi, us, ss, corona, sp, muslim, israel;02.02.2021;nan;24.10.2024;02.02.21, 18:00;;;Operation Luxor: Über 100 Beschuldigte in der Causa Muslimbrüder;Statt Rechtsradikaler fand der Verfassungsschutz Islamisten.;Der Ermittlungsakt der Operation Luxor umfasst Tausende Seiten. Die Staatsanwaltschaft Graz ermittelt seit 2019 gegen angebliche heimische Anhänger der Hamas und der Muslimbruderschaft – unter anderem wegen Verdachts der Terrorismusfinanzierung und der Mitgliedschaft in einer terroristischen Vereinigung. Mittlerweile werden 101 Beschuldigte (darunter auch Vereine und Unternehmen) geführt. 60 Hausdurchsuchungen wurden im vergangenen November zeitgleich in ganz Österreich durchgeführt. Doch nach diesem großen Knall kam lange nichts – und die Beweislage scheint sich bisher nicht zu erhärten. Dem KURIER liegt der Ermittlungsakt vor. Und daraus ist auch zu entnehmen, wie die Ermittlungen ihren Ausgang nahmen: Bilder von Veranstaltungen waren aufgetaucht, auf denen Dutzende Männer den rechten Arm erhoben hielten. Es handle sich um ein „Nazi-Treffen vom April 2014 in Wien“, wurde dem Verfassungsschutz mitgeteilt.;;;;;
kurier;https://kurier.at/chronik/oesterreich/terrorermittlungen-kinder-sangen-bei-veranstaltung-vom-putsch-und-soldaten/401176246;terror, ns, us, rna, ss, muslim;02.02.2021;nan;24.10.2024;02.02.21, 18:00;;;Terrorermittlungen: Kinder sangen bei Veranstaltung vom Putsch und Soldaten;Die Ermittlungen im Zuge der Aktion Lxuor zeigen ein radikales Weltbild, aber ist das strafbar?;Es ist ein verstörendes Video: Zahlreiche Kinder stehen bei einer Veranstaltung in Wien neben einem Panzermodell und singen ein ägyptisches Lied. „Der Putsch ist der Terror, nieder, nieder, mit den Soldaten!“, lautet eine Textzeile. Ägypten wird als Militärlager besungen, gegen das die Muslimbruderschaft dringend handeln sollte. „Wer wird die R4bia vergessen? Nieder, nieder mit den Soldaten.“ Kinder sangen diesen Text bei einer Veranstaltung in Wien, flankiert von einem Panzer-Modell, über den Putsch in Ägypten. Das alles passierte kurz nach dem Putsch des Militärs gegen den ägyptischen Präsidenten, der der Muslimbruderschaft zugeordnet wird. R4bia ist das Symbol mit den vier Fingern, das an diese Proteste erinnern soll. Die beschriebenen Geschehnisse passierten 2013 und 2014. Der R4bia-Gruß – dabei werden vier Finger nach oben gestreckt und der Daumen angewinkelt. Er gilt als Zeichen der Muslimbrüder. Doch erst ab Mitte Jänner 2020 wurden fünf Moscheen in der Steiermark, welche im dringenden Verdacht stehen, mit der Muslimbruderschaft verbunden zu sein, mit Videokameras überwacht. Auch sonst gibt es Berichte über Treffen der Muslimbruderschaft in Wien zu dieser Zeit, sogar staatsgefährdende Aktivitäten in Ägypten sollen geplant worden sein. Fest steht, die Teilnehmer stehen für einen radikalen Islam. Doch was daran ist tatsächlich strafbar?;;;;;
kurier;https://kurier.at/chronik/oesterreich/symbol-politik-im-kampf-gegen-den-terror-diese-zeichen-sind-kuenftig-verboten/401133405;terror, rki, politik, antifa, ns, hamas, övp, rechtsextremismus, us, ss, schi, regierung, sp, muslim, natascha strobl, karl nehammer;18.12.2020;nan;24.10.2024;18.12.20, 05:00;;;"""Symbol-Politik"" im Kampf gegen den Terror: Diese Zeichen sind künftig verboten";Das Zeichen der Identitären fällt unter das neue Verbot.;Sie stürmten eine Theateraufführung im Audimax der Uni Wien und charterten ein Schiff, um im Mittelmeer Flüchtlinge abzufangen. Wegen Aktionen wie diesen und ihrer rechtsextremen Ideologie stehen die sogenannten Identitären unter Beobachtung des Verfassungsschutzes. Zuletzt sorgten Hausdurchsuchungen bei ranghohen Mitgliedern für Aufmerksamkeit – auch, weil der Attentäter, der in Neuseeland 50 Muslime getötet hat, an deren Chef spendete. Nun wird das rechtsextreme Lambda-Symbol, das die Identitären bzw. deren Splitterbewegung „Die Österreicher“ nutzen, verboten. Denn im Rahmen des Anti-Terror-Pakets wird das Symbolgesetz novelliert. Auf die Liste kommen auch islamistische Gruppen wie die „Hizb ut-Tahrir“, eine Abspaltung der Muslimbrüder, oder die Gruppierung „Kaukasus-Emirat“. Auch Zeichen der linksextremen „Revolutionäre Volksbefreiungspartei-Front“ werden verboten.;;;;;
