news_outlet,provenance,query_keywords,creation_date,last_modified,crawl_date,author_person,author_organization,news_keywords,content_title,content_description,content_body
ntv,https://www.n-tv.de/wissen/Groesster-Vollmond-des-Jahres-Draconiden-und-superschnelle-Orioniden-das-bietet-der-Himmel-im-Oktober-article25250282.html,"ns, us, europa, rna, amerika, schi, usa, ss, linke, sp",30.09.2024,30.09.2024,20.10.2024,,"ntv.de, Hans-Ulrich Keller, dpa","Bildung, Sternschnuppen, Astronomie, Astrologie, Sonne, Sonnenfinsternis, Saturn, Sommer- und Winterzeit, Mond",Größter Vollmond des Jahres und superschnelle Orioniden,Der neue Monat wartet mit dem größten Vollmond des ganzen Jahres auf - und zugleich mit extremen Gezeiten und Springfluten an den Küsten. Sehr schnelle Sternschnuppen flitzen über den Himmel. Und auch die Sonne bietet ein Schauspiel - das ist aber hierzulande nicht zu sehen.,
ntv,https://www.n-tv.de/wissen/Komet-Tsuchinshan-Atlas-C-2023-A3-Nachtschwaermer-sehen-bald-Kometen-mit-blossem-Auge-article25279102.html,"ns, sp, ss, us",09.10.2024,10.10.2024,20.10.2024,,"ntv.de, mpa/dpa","Bildung, Kometen, Weltraum",Nachtschwärmer sehen bald Kometen mit bloßem Auge,"Der Komet Tsuchinshan-Atlas nähert sich der Erde. In den kommenden Tagen ist er so gering entfernt, dass ihn Nachtschwärmer mit bloßem Auge erkennen können. Eine Gefahr für den Planeten stellt der Himmelskörper allerdings nicht dar.",
ntv,https://www.n-tv.de/wissen/Kleine-Saturn-Monde-sind-leicht-wie-Kork-article20933811.html,"ns, us, rna, usa, schi, ss, sp",28.03.2019,29.03.2019,20.10.2024,,"ntv.de, Till Mundzeck, dpa","Bildung, Saturn, Nasa, Astronomie, Raumsonden, Max-Planck-Gesellschaft",Kleine Saturn-Monde sind leicht wie Kork,"Die Raumsonde ""Cassini"" fliegt bei ihrer Mission auch zwischen dem Saturn und seinen Ringen durch. Dabei kann sie aus zuvor unerreichter Nähe Bilder von fünf Mini-Monden machen. Die bringen überraschende Erkenntnisse - zur Dichte und auch zur Form.",
ntv,https://www.n-tv.de/sport/fussball-em/Die-grausam-schoenste-aller-Achterbahnfahrten-article23499968.html,"ns, us, rna, politik, frankreich, schi, usa, spd, ss, afd, israel, pandemie, sp, corona",01.08.2022,01.08.2022,21.10.2024,Eine Danksagung von David Bedürftig,ntv.de,"DFB-Frauen, England, Europameisterschaften, Joachim Löw, Fußball-Nationalmannschaft, DFB, Hansi Flick",Die grausam-schönste aller Achterbahnfahrten,Endlich wieder Puls. Und das bei einem Länderspiel! Für Fußball-Fans bedeutet DFB nur noch Langeweile und Hashtags. Doch dann kommen die deutschen Fußballerinnen und stellen alles auf den Kopf. Wahnsinn!,
ntv,https://www.n-tv.de/sport/fussball-em/Nachruecker-Portugal-verpasst-Sensations-Comeback-article23453380.html,"ns, us, rna, schi, ss, sp",09.07.2022,09.07.2022,21.10.2024,,"ntv.de, sue/sid","Europameisterschaften, Frauenfußball",Nachrücker Portugal verpasst Sensations-Comeback,"Die Zuschauer beim Spiel zwischen der Schweiz und Portugal im Leigh Sports Village Stadium nahe Manchester sehen zwei vollkommen unterschiedliche Halbzeiten und eine furiose Schlussphase, in der die für Russland nachgerückten Portugiesinnen haarscharf an einem Sensations-Comeback vorbeischrammen.",
ntv,https://www.n-tv.de/sport/fussball/Euphorisches-DFB-Team-strotzt-vor-Selbstvertrauen-article23453903.html,"ns, us, europa, sp, ss, frankreich, spo",10.07.2022,10.07.2022,21.10.2024,,"ntv.de, Ulrike John, dpa","Fußball, Fußball, DFB, Europameisterschaften",Euphorisches DFB-Team strotzt vor Selbstvertrauen,"Die deutsche Auswahl gilt als die stärkste nach den ersten EM-Spielen - gemeinsam mit dem nächsten Gegner Spanien. Beim DFB ist man optimistisch, dass der Weg zum Titel nur über Deutschland führt. Die Trainerin spricht vom besten Spiel unter ihrer Regie.",
ntv,https://www.n-tv.de/ratgeber/Kann-ich-im-Alter-meinen-Lebensstandard-halten-Darum-sollten-Sie-Ihren-Kapitalbedarf-kalkulieren-article23319012.html,"ns, us, pensionen, usa, ukraine, ss, inflation, sp, krieg, corona",10.05.2022,16.05.2022,21.10.2024,,"ntv.de, Monika Hillemacher, dpa","Ratgeber, Beruf, Rentner, Rentenversicherung, Verbraucher, Arbeitnehmer, Verbraucherzentralen, Mütter, Private Altersvorsorge, Versicherungen, Mütterrente, Stiftung Warentest, Aktienfonds, Altersvorsorge",So kalkulieren Rentner ihren Kapitalbedarf,"Wer aufhört zu arbeiten, hat meist weniger Geld zur Verfügung als vorher. Doch sich im Rentenalter einzuschränken, ist oft keine Option. Eine Kalkulation des Finanzbedarfs schafft Übersicht.",
ntv,https://www.n-tv.de/sport/fussball-em/Englands-Frauen-mit-Rekordergebnis-im-Viertelfinale-article23457020.html,"ns, us, schi, ss, sp",11.07.2022,11.07.2022,21.10.2024,,"ntv.de, als/sid","England, Norwegen, Frauenfußball, Europameisterschaften, Fußball",Englands Frauen mit Rekordergebnis im Viertelfinale,"Die englischen Fußball-Frauen stehen bei der Europameisterschaft im Viertelfinale, und wie. Gegen Norwegen trumpften die Britinnen auf und erzielten Tor um Tor. Am Ende stand mit 8:0 ein neuer Rekord zu Buche. Die DFB-Frauen haben besser zugeschaut, sie könnten im Viertelfinale Gegner der Torhungrigen sein.",
ntv,https://www.n-tv.de/panorama/Immer-mehr-Menschen-im-Rentenalter-arbeiten-article23332144.html,"ns, us, regierung, ss, linke, arbeitsmarkt, sp",14.05.2022,14.05.2022,21.10.2024,,"ntv.de, mbu/AFP","International, Rentner, Rentenpolitik, Die Linke, Bundesagentur für Arbeit",Immer mehr Menschen im Rentenalter arbeiten ,2010 haben rund 685.000 Menschen über 67 Jahren einen Job. 2021 sind es bereits über eine Million. Linken-Abgeordneter Pellman macht für den starken Anstieg zu niedrige Renten verantwortlich. Laut einer Studie gehen aber viele Seniorinnen und Senioren auch aus nichtfinanziellen Gründen weiter zur Arbeit.,
ntv,https://www.n-tv.de/wirtschaft/Ifo-Mietendeckel-halbierte-Wohnungsangebot-article23263452.html,"ns, us, politik, ss, mietpreisdeckel",12.04.2022,12.04.2022,21.10.2024,,"ntv.de, chl/AFP","Wirtschaft, Mietendeckel, Mieterhöhungen, Berlin, Ifo-Institut",Ifo: Mietendeckel halbierte Wohnungsangebot,"Vor einem Jahr kippt das Bundesverfassungsgericht den Berliner Mietendeckel. Eine aktuelle Studie des Ifo-Instituts zeigt, dass das Gesetz die Zahl der angebotenen Wohnungen drastisch verknappte. Ein Teil der Mieter profitiert aber noch immer.",
