iter	Passed	Remaining
0	180	179839
1	354	176825
2	536	178442
3	704	175306
4	865	172222
5	1064	176366
6	1354	192113
7	1545	191597
8	1710	188311
9	1865	184688
10	2044	183852
11	2215	182399
12	2397	182036
13	2634	185567
14	2808	184398
15	2978	183174
16	3146	181952
17	3336	182002
18	3501	180790
19	3647	178728
20	3812	177720
21	4003	177952
22	4153	176415
23	4304	175058
24	4448	173493
25	4591	172009
26	4738	170768
27	4881	169473
28	5031	168472
29	5178	167450
30	5325	166471
31	5467	165384
32	5617	164614
33	5769	163910
34	5941	163812
35	6118	163830
36	6284	163573
37	6453	163379
38	6612	162939
39	6794	163070
40	6953	162650
41	7123	162478
42	7285	162140
43	7454	161956
44	7623	161785
45	7785	161459
46	7939	160987
47	8099	160645
48	8272	160553
49	8449	160541
50	8615	160310
51	8773	159951
52	8948	159895
53	9111	159617
54	9289	159615
55	9454	159374
56	9620	159157
57	9801	159195
58	9962	158887
59	10124	158617
60	10286	158349
61	10457	158207
62	10612	157838
63	10766	157463
64	10930	157228
65	11099	157077
66	11247	156621
67	11392	156143
68	11538	155691
69	11725	155787
70	11909	155824
71	12093	155877
72	12268	155798
73	12458	155903
74	12635	155839
75	12804	155679
76	12974	155528
77	13155	155508
78	13341	155535
79	13524	155534
80	13709	155546
81	13880	155389
82	14046	155190
83	14196	154814
84	14352	154501
85	14534	154473
86	14703	154306
87	14857	153981
88	15050	154054
89	15235	154046
90	15409	153927
91	15575	153728
92	15763	153733
93	15946	153697
94	16146	153816
95	16310	153593
96	16478	153404
97	16651	153261
98	16819	153075
99	16990	152916
100	17158	152726
101	17326	152541
102	17499	152399
103	17653	152090
104	17815	151859
105	17972	151579
106	18129	151306
107	18281	150987
108	18436	150707
109	18600	150494
110	18767	150312
111	18929	150082
112	19087	149826
113	19248	149596
114	19409	149367
115	19578	149203
116	19735	148943
117	19891	148676
118	20057	148489
119	20242	148442
120	20435	148456
121	20626	148441
122	20809	148373
123	21005	148390
124	21188	148319
125	21383	148324
126	21566	148247
127	21751	148182
128	21939	148131
129	22121	148041
130	22300	147935
131	22483	147844
132	22669	147780
133	22934	148215
134	23134	148231
135	23322	148169
136	23511	148108
137	23691	147988
138	23876	147898
139	24066	147839
140	24240	147676
141	24423	147570
142	24609	147484
143	24796	147404
144	24980	147300
145	25174	147254
146	25367	147202
147	25562	147155
148	25749	147063
149	25928	146925
150	26103	146765
151	26290	146673
152	26475	146566
153	26676	146549
154	26894	146618
155	27117	146713
156	27335	146773
157	27563	146887
158	27803	147059
159	28002	147015
160	28194	146924
161	28406	146942
162	28703	147391
163	28911	147376
164	29141	147472
165	29332	147368
166	29559	147442
167	29769	147429
168	29956	147301
169	30135	147133
170	30310	146946
171	30507	146863
172	30740	146951
173	30954	146946
174	31184	147012
175	31409	147052
176	31637	147107
177	31839	147032
178	32069	147090
179	32259	146958
180	32486	146995
181	32714	147037
182	32930	147019
183	33111	146842
184	33340	146880
185	33652	147276
186	33834	147096
187	34049	147064
188	34283	147108
189	34480	146996
190	34649	146760
191	34849	146656
192	35060	146598
193	35292	146628
194	35528	146666
195	35766	146714
196	35944	146514
197	36133	146359
198	36331	146237
199	36504	146019
200	36666	145754
201	36822	145468
202	37044	145438
203	37244	145327
204	37407	145068
205	37603	144935
206	37866	145062
207	38089	145034
208	38375	145241
209	38589	145169
210	38795	145071
211	38988	144918
212	39215	144895
213	39428	144815
214	39603	144597
215	39883	144763
216	40072	144592
217	40238	144341
218	40425	144165
219	40597	143936
220	40768	143703
221	40947	143501
222	41158	143409
223	41353	143258
224	41547	143108
225	41740	142953
226	41936	142805
227	42102	142557
228	42274	142331
229	42436	142071
230	42600	141818
231	42858	141877
232	43073	141791
233	43270	141645
234	43458	141470
235	43650	141310
236	43828	141103
237	44053	141045
238	44253	140908
239	44440	140729
240	44602	140468
241	44789	140292
242	45000	140188
243	45169	139951
244	45351	139755
245	45543	139591
246	45704	139335
247	45874	139104
248	46055	138905
249	46294	138882
250	46565	138953
251	46839	139031
252	47004	138784
253	47162	138515
254	47329	138275
255	47492	138025
256	47672	137822
257	47885	137716
258	48094	137597
259	48291	137445
260	48467	137231
261	48665	137079
262	48821	136812
263	48995	136594
264	49179	136403
265	49338	136145
266	49525	135962
267	49701	135752
268	49866	135510
269	50039	135291
270	50221	135098
271	50408	134917
272	50579	134693
273	50784	134561
274	50952	134328
275	51169	134226
276	51348	134024
277	51548	133878
278	51826	133930
279	52000	133715
280	52226	133633
281	52392	133396
282	52554	133150
283	52703	132873
284	52881	132667
285	53106	132580
286	53274	132350
287	53478	132211
288	53647	131985
289	53804	131728
290	54006	131582
291	54165	131331
292	54371	131195
293	54536	130960
294	54699	130721
295	54862	130483
296	55022	130238
297	55201	130037
298	55400	129884
299	55556	129631
300	55720	129397
301	55876	129144
302	56033	128895
303	56193	128652
304	56376	128464
305	56539	128230
306	56706	128005
307	56904	127850
308	57084	127654
309	57269	127471
310	57455	127289
311	57632	127086
312	57804	126874
313	57965	126637
314	58175	126508
315	58355	126314
316	58531	126110
317	58719	125933
318	58881	125699
319	59047	125476
320	59220	125267
321	59377	125024
322	59540	124794
323	59698	124555
324	59980	124575
325	60151	124362
326	60330	124165
327	60539	124031
328	60739	123878
329	60900	123647
330	61067	123426
331	61227	123193
332	61398	122982
333	61582	122796
334	61757	122594
335	61923	122372
336	62086	122145
337	62242	121907
338	62405	121681
339	62634	121584
340	62819	121402
341	62980	121172
342	63141	120944
343	63300	120712
344	63459	120481
345	63624	120261
346	63780	120024
347	63940	119795
348	64110	119587
349	64267	119353
350	64444	119158
351	64605	118933
352	64782	118736
353	64941	118509
354	65099	118279
355	65257	118049
356	65438	117862
357	65657	117743
358	65848	117574
359	66009	117350
360	66201	117181
361	66367	116968
362	66566	116811
363	66760	116647
364	66933	116445
365	67103	116238
366	67283	116049
367	67456	115849
368	67630	115649
369	67784	115416
370	67937	115182
371	68100	114965
372	68258	114740
373	68413	114510
374	68608	114346
375	68824	114219
376	68986	114000
377	69199	113868
378	69380	113680
379	69566	113502
380	69730	113289
381	69897	113079
382	70067	112875
383	70252	112697
384	70457	112548
385	70634	112356
386	70834	112200
387	71002	111993
388	71158	111768
389	71343	111588
390	71526	111405
391	71697	111205
392	71876	111015
393	72088	110877
394	72254	110668
395	72406	110437
396	72573	110231
397	72767	110064
398	72955	109890
399	73128	109692
400	73307	109503
401	73537	109390
402	73706	109188
403	73865	108970
404	74024	108751
405	74181	108532
406	74356	108338
407	74525	108135
408	74703	107946
409	74856	107720
410	75029	107524
411	75202	107327
412	75382	107141
413	75560	106952
414	75728	106750
415	75887	106534
416	76052	106327
417	76206	106106
418	76371	105899
419	76551	105714
420	76733	105530
421	76916	105349
422	77077	105138
423	77309	105023
424	77489	104838
425	77660	104641
426	77830	104442
427	78022	104272
428	78186	104066
429	78349	103858
430	78504	103640
431	78677	103445
432	78840	103239
433	79027	103063
434	79205	102876
435	79380	102685
436	79542	102476
437	79703	102268
438	79867	102063
439	80038	101867
440	80228	101695
441	80461	101577
442	80628	101376
443	80788	101167
444	80999	101022
445	81180	100838
446	81370	100666
447	81550	100481
448	81735	100303
449	81913	100116
450	82091	99929
451	82300	99779
452	82508	99629
453	82736	99502
454	82929	99333
455	83184	99237
456	83395	99088
457	83627	98965
458	83860	98842
459	84071	98692
460	84294	98556
461	84499	98400
462	84699	98237
463	84884	98056
464	85076	97883
465	85247	97686
466	85405	97475
467	85561	97262
468	85723	97056
469	85910	96877
470	86109	96712
471	86312	96552
472	86511	96387
473	86697	96208
474	86866	96010
475	87053	95832
476	87300	95719
477	87498	95553
478	87691	95380
479	87891	95215
480	88069	95027
481	88253	94845
482	88410	94633
483	88631	94491
484	88790	94282
485	88951	94076
486	89139	93898
487	89344	93738
488	89512	93540
489	89668	93328
490	89832	93125
491	90047	92975
492	90232	92794
493	90421	92618
494	90611	92441
495	90887	92353
496	91104	92204
497	91265	91998
498	91453	91820
499	91622	91622
500	91806	91439
501	91998	91265
502	92194	91095
503	92361	90895
504	92571	90738
505	92736	90537
506	92922	90356
507	93081	90150
508	93240	89943
509	93396	89733
510	93555	89527
511	93715	89322
512	93877	89119
513	94054	88930
514	94233	88743
515	94420	88564
516	94624	88401
517	94801	88212
518	94987	88032
519	95220	87896
520	95416	87724
521	95605	87546
522	95775	87352
523	95956	87166
524	96146	86990
525	96398	86868
526	96589	86692
527	96767	86504
528	96938	86310
529	97128	86132
530	97353	85986
531	97637	85891
532	97825	85712
533	98002	85522
534	98183	85337
535	98435	85212
536	98603	85016
537	98776	84823
538	99010	84682
539	99188	84494
540	99363	84302
541	99543	84115
542	99739	83943
543	99935	83769
544	100125	83590
545	100348	83440
546	100557	83276
547	100774	83120
548	100961	82938
549	101141	82751
550	101327	82569
551	101511	82385
552	101734	82233
553	101953	82078
554	102176	81924
555	102381	81758
556	102600	81601
557	102845	81465
558	103067	81310
559	103263	81135
560	103497	80990
561	103679	80803
562	103868	80622
563	104065	80447
564	104284	80289
565	104643	80238
566	104877	80091
567	105162	79982
568	105355	79803
569	105540	79618
570	105725	79433
571	105926	79259
572	106149	79102
573	106354	78931
574	106554	78757
575	106749	78579
576	106935	78394
577	107139	78223
578	107351	78057
579	107561	77889
580	107773	77723
581	107986	77557
582	108265	77438
583	108487	77279
584	108755	77151
585	108962	76980
586	109159	76802
587	109346	76616
588	109534	76432
589	109729	76252
590	109933	76079
591	110141	75908
592	110342	75732
593	110588	75587
594	110844	75449
595	111088	75301
596	111341	75160
597	111591	75016
598	111829	74864
599	112109	74739
600	112342	74583
601	112544	74406
602	112760	74238
603	113015	74096
604	113248	73939
605	113444	73757
606	113643	73578
607	113833	73392
608	114070	73237
609	114321	73090
610	114558	72935
611	114760	72756
612	114942	72565
613	115142	72385
614	115337	72202
615	115531	72019
616	115738	71844
617	115973	71685
618	116189	71515
619	116394	71338
620	116624	71176
621	116843	71007
622	117068	70842
623	117306	70684
624	117527	70516
625	117764	70357
626	117993	70194
627	118237	70038
628	118473	69878
629	118676	69698
630	118930	69548
631	119168	69389
632	119387	69218
633	119582	69033
634	119789	68855
635	120023	68692
636	120268	68535
637	120496	68369
638	120686	68181
639	120886	67998
640	121096	67821
641	121293	67637
642	121489	67452
643	121687	67267
644	121869	67075
645	122056	66885
646	122253	66700
647	122445	66513
648	122631	66323
649	122895	66174
650	123130	66010
651	123382	65854
652	123613	65687
653	123847	65521
654	124075	65352
655	124273	65167
656	124466	64980
657	124660	64793
658	124848	64603
659	125050	64419
660	125265	64243
661	125461	64057
662	125654	63869
663	125850	63683
664	126034	63491
665	126234	63306
666	126427	63119
667	126617	62929
668	126831	62752
669	127070	62586
670	127294	62413
671	127510	62237
672	127749	62071
673	127948	61886
674	128139	61696
675	128337	61511
676	128526	61320
677	128766	61154
678	128964	60968
679	129168	60785
680	129373	60602
681	129572	60416
682	129757	60224
683	129941	60031
684	130148	59849
685	130333	59657
686	130532	59471
687	130722	59281
688	130908	59089
689	131096	58898
690	131297	58713
691	131507	58532
692	131703	58345
693	131895	58155
694	132085	57965
695	132276	57776
696	132464	57584
697	132657	57396
698	132852	57208
699	133038	57016
700	133233	56828
701	133436	56643
702	133643	56460
703	133839	56273
704	134032	56084
705	134230	55897
706	134420	55707
707	134610	55517
708	134805	55329
709	134995	55138
710	135187	54949
711	135379	54760
712	135580	54574
713	135786	54390
714	136043	54227
715	136255	54045
716	136525	53886
717	136766	53716
718	136987	53537
719	137321	53402
720	137519	53215
721	137752	53040
722	137990	52867
723	138189	52679
724	138376	52487
725	138608	52312
726	138834	52134
727	139033	51946
728	139222	51754
729	139419	51565
730	139611	51375
731	139797	51182
732	140003	50997
733	140199	50808
734	140402	50621
735	140597	50431
736	140787	50240
737	140995	50055
738	141193	49866
739	141376	49672
740	141569	49482
741	141760	49291
742	141972	49107
743	142238	48942
744	142452	48759
745	142647	48569
746	142869	48388
747	143138	48223
748	143374	48046
749	143602	47867
750	143794	47676
751	144031	47499
752	144231	47311
753	144425	47120
754	144612	46927
755	144814	46738
756	145005	46547
757	145193	46354
758	145375	46160
759	145560	45966
760	145756	45776
761	145948	45584
762	146160	45399
763	146349	45207
764	146544	45016
765	146735	44825
766	146928	44633
767	147123	44443
768	147304	44248
769	147496	44057
770	147681	43863
771	147868	43671
772	148063	43480
773	148273	43294
774	148472	43104
775	148667	42914
776	148859	42722
777	149074	42538
778	149310	42358
779	149508	42168
780	149777	41998
781	149995	41814
782	150247	41639
783	150476	41457
784	150718	41279
785	150965	41102
786	151226	40929
787	151499	40758
788	151748	40581
789	151996	40404
790	152200	40214
791	152422	40030
792	152682	39855
793	152884	39665
794	153100	39478
795	153342	39298
796	153535	39106
797	153820	38936
798	154074	38759
799	154271	38567
800	154491	38381
801	154683	38188
802	154908	38003
803	155143	37821
804	155359	37633
805	155578	37446
806	155796	37259
807	156004	37070
808	156233	36885
809	156429	36693
810	156676	36512
811	156895	36325
812	157155	36147
813	157345	35953
814	157518	35755
815	157695	35558
816	157938	35376
817	158198	35198
818	158442	35016
819	158631	34821
820	158805	34623
821	158982	34426
822	159155	34229
823	159330	34031
824	159511	33835
825	159715	33644
826	159912	33452
827	160103	33258
828	160298	33065
829	160476	32868
830	160653	32671
831	160835	32476
832	161029	32283
833	161201	32085
834	161396	31892
835	161657	31712
836	161994	31547
837	162169	31350
838	162345	31153
839	162534	30959
840	162754	30770
841	162940	30575
842	163121	30379
843	163326	30188
844	163507	29992
845	163710	29800
846	163934	29612
847	164101	29414
848	164269	29216
849	164439	29018
850	164610	28821
851	164776	28623
852	164952	28426
853	165160	28235
854	165334	28039
855	165509	27842
856	165694	27647
857	165892	27455
858	166076	27260
859	166259	27065
860	166443	26870
861	166643	26678
862	166807	26480
863	166977	26283
864	167157	26088
