news_outlet,provenance,query_keywords,creation_date,last_modified,crawl_date,author_person,author_organization,news_keywords,content_title,content_description,content_body,Fake News,Extreme bias,clickbait,credible,body_len,has_label
kurier,https://kurier.at/chronik/niederoesterreich/sankt-poelten/st-poelten-alles-was-sie-zur-gemeinderatswahl-wissen-muessen/401131995,"ns, oevp, us, ss, schi, neos, corona, sp, fpoe",2020-12-16 00:00:00,,2024-10-24,"16.12.20, 17:43",,,"St. Poelten: Alles, was Sie zur Gemeinderatswahl wissen muessen","Sechs Parteien werden antreten, der Magistrat raet, einen eigenen Kugelschreiber mitzunehmen.","Der KURIER berichtet ab sofort verstaerkt aus der Landeshauptstadt St. Poelten. Wenn Sie ueber alle wichtigen Themen in der Stadt informiert bleiben wollen, dann koennen Sie sich hier oder am Ende des Artikels fuer den woechentlichen Newsletter ""Ganz St. Poelten"" anmelden. Bei der Gemeinderatswahl in St. Poelten am 24. Jaenner werden mit SPOe, OeVP, FPOe, Gruene, NEOS und der KPOe sechs Parteien antreten. Der (heutige) Mittwoch ist der Endtermin fuer die Einbringung der Wahlvorschlaege gewesen. 46.621 Stimmberechtigte sind in der niederoesterreichischen Landeshauptstadt zum Urnengang aufgerufen.",,,,,602.0,False
kurier,https://kurier.at/chronik/oesterreich/terrorermittlungen-bereits-101-beschuldigte-in-der-causa-muslimbrueder/401176231,"terror, ns, hamas, islamisch, nazi, us, ss, corona, sp, muslim, israel",2021-02-02 00:00:00,,2024-10-24,"02.02.21, 18:00",,,Operation Luxor: Ãœber 100 Beschuldigte in der Causa Muslimbrueder,Statt Rechtsradikaler fand der Verfassungsschutz Islamisten.,"Der Ermittlungsakt der Operation Luxor umfasst Tausende Seiten. Die Staatsanwaltschaft Graz ermittelt seit 2019 gegen angebliche heimische Anhaenger der Hamas und der Muslimbruderschaft  unter anderem wegen Verdachts der Terrorismusfinanzierung und der Mitgliedschaft in einer terroristischen Vereinigung. Mittlerweile werden 101 Beschuldigte (darunter auch Vereine und Unternehmen) gefuehrt. 60 Hausdurchsuchungen wurden im vergangenen November zeitgleich in ganz Oesterreich durchgefuehrt. Doch nach diesem grossen Knall kam lange nichts  und die Beweislage scheint sich bisher nicht zu erhaerten. Dem KURIER liegt der Ermittlungsakt vor. Und daraus ist auch zu entnehmen, wie die Ermittlungen ihren Ausgang nahmen: Bilder von Veranstaltungen waren aufgetaucht, auf denen Dutzende Maenner den rechten Arm erhoben hielten. Es handle sich um ein Nazi-Treffen vom April 2014 in Wien, wurde dem Verfassungsschutz mitgeteilt.",,,,,922.0,False
kurier,https://kurier.at/chronik/oesterreich/terrorermittlungen-kinder-sangen-bei-veranstaltung-vom-putsch-und-soldaten/401176246,"terror, ns, us, rna, ss, muslim",2021-02-02 00:00:00,,2024-10-24,"02.02.21, 18:00",,,Terrorermittlungen: Kinder sangen bei Veranstaltung vom Putsch und Soldaten,"Die Ermittlungen im Zuge der Aktion Lxuor zeigen ein radikales Weltbild, aber ist das strafbar?","Es ist ein verstoerendes Video: Zahlreiche Kinder stehen bei einer Veranstaltung in Wien neben einem Panzermodell und singen ein aegyptisches Lied. Der Putsch ist der Terror, nieder, nieder, mit den Soldaten!, lautet eine Textzeile. Aegypten wird als Militaerlager besungen, gegen das die Muslimbruderschaft dringend handeln sollte. Wer wird die R4bia vergessen? Nieder, nieder mit den Soldaten. Kinder sangen diesen Text bei einer Veranstaltung in Wien, flankiert von einem Panzer-Modell, ueber den Putsch in Aegypten. Das alles passierte kurz nach dem Putsch des Militaers gegen den aegyptischen Praesidenten, der der Muslimbruderschaft zugeordnet wird. R4bia ist das Symbol mit den vier Fingern, das an diese Proteste erinnern soll. Die beschriebenen Geschehnisse passierten 2013 und 2014. Der R4bia-Gruss  dabei werden vier Finger nach oben gestreckt und der Daumen angewinkelt. Er gilt als Zeichen der Muslimbrueder. Doch erst ab Mitte Jaenner 2020 wurden fuenf Moscheen in der Steiermark, welche im dringenden Verdacht stehen, mit der Muslimbruderschaft verbunden zu sein, mit Videokameras ueberwacht. Auch sonst gibt es Berichte ueber Treffen der Muslimbruderschaft in Wien zu dieser Zeit, sogar staatsgefaehrdende Aktivitaeten in Aegypten sollen geplant worden sein. Fest steht, die Teilnehmer stehen fuer einen radikalen Islam. Doch was daran ist tatsaechlich strafbar?",,,,,1378.0,False
kurier,https://kurier.at/chronik/oesterreich/symbol-politik-im-kampf-gegen-den-terror-diese-zeichen-sind-kuenftig-verboten/401133405,"terror, rki, politik, antifa, ns, hamas, oevp, rechtsextremismus, us, ss, schi, regierung, sp, muslim, natascha strobl, karl nehammer",2020-12-18 00:00:00,,2024-10-24,"18.12.20, 05:00",,,"""Symbol-Politik"" im Kampf gegen den Terror: Diese Zeichen sind kuenftig verboten",Das Zeichen der Identitaeren faellt unter das neue Verbot.,"Sie stuermten eine Theaterauffuehrung im Audimax der Uni Wien und charterten ein Schiff, um im Mittelmeer Fluechtlinge abzufangen. Wegen Aktionen wie diesen und ihrer rechtsextremen Ideologie stehen die sogenannten Identitaeren unter Beobachtung des Verfassungsschutzes. Zuletzt sorgten Hausdurchsuchungen bei ranghohen Mitgliedern fuer Aufmerksamkeit  auch, weil der Attentaeter, der in Neuseeland 50 Muslime getoetet hat, an deren Chef spendete. Nun wird das rechtsextreme Lambda-Symbol, das die Identitaeren bzw. deren Splitterbewegung Die Oesterreicher nutzen, verboten. Denn im Rahmen des Anti-Terror-Pakets wird das Symbolgesetz novelliert. Auf die Liste kommen auch islamistische Gruppen wie die Hizb ut-Tahrir, eine Abspaltung der Muslimbrueder, oder die Gruppierung Kaukasus-Emirat. Auch Zeichen der linksextremen Revolutionaere Volksbefreiungspartei-Front werden verboten.",,,,,882.0,False
kurier,https://kurier.at/chronik/niederoesterreich/st-poelten-drei-frauen-eine-leidenschaft/400954394,"ns, lockdown, us, ss, schi, corona, sp",2020-06-27 00:00:00,,2024-10-24,"27.06.20, 09:06",,,"St. Poelten: Drei Frauen, eine Leidenschaft",Fotos auf Leinwand: Ein Fotografinnen-Trio aus NOe hat ein ganz besonderes Geschaeftsmodell entwickelt.,"Sie verbindet die Liebe zur Natur, das Gespuer fuer einzigartige Momente und die Freude, das alles mit anderen zu teilen: Daniela Matejschek, Julia Pfeiffer und Elisabeth Scheich sind Fotografinnen aus Leidenschaft. Das Besondere an ihren Werken ist, dass man sie nun auf Leinwand kaufen kann.",,,,,293.0,False
kurier,https://kurier.at/chronik/niederoesterreich/st-poelten-neuer-ring-um-die-altstadt-geplant/401035541,"politik, europa, ns, us, ss, sp",2020-09-17 00:00:00,,2024-10-24,"17.09.20, 18:27",,,St. Poelten: Neuer Ring um die Altstadt geplant,Der Promenadenring soll neu gestaltet werden. Die Buerger sollen bei den Planungen mitreden duerfen.,"Die Stadtverantwortlichen sind sich einig: Der Promenandenring, der vom Bahnhof ueber die Julius-Raab-Promenade und den Europaplatz bis zur Dr.-Karl-Renner-Promenade und zum Neugebaeudeplatz fuehrt, entspricht nicht mehr einer modernen Stadtgestaltung.",,,,,252.0,False
kurier,https://kurier.at/chronik/niederoesterreich/mordversuch-an-stiefvater-zwei-komplizen-verhaftet/401386845,"ns, us, ss, schi, sp",2021-05-19 00:00:00,,2024-10-24,"19.05.21, 18:00",,,Mordversuch an Stiefvater: 15- und 18-Jaehriger als Mitwisser,"Am Dienstag wurden die beiden mutmasslichen Komplizen festgenommen, U-Haft wurde aber keine verhaengt","War die Bluttat an einem 60-jaehrigen Wiener Neustaedter ein schief gelaufenes Mordkomplott? Es gibt Indizien, dass der Messerangriff am vergangenen Samstag auf Reinhard P. geplant war. Sein 19-jaehriger Stiefsohn soll zumindest zwei Mitwisser gehabt haben, mit denen er bewaffnet zu seinem Stiefvater fuhr und auf ihn eingestochen haben soll. Am Dienstag wurden die beiden mutmasslichen Komplizen, 15 und 18 Jahre alt, festgenommen. Die Staatsanwaltschaft Wiener Neustadt hat die Untersuchungshaft beantragt. Das Landesgericht hat jedoch keine U-Haft verhaengt. Es gibt die Weisung, dass die Personen am Ermittlungsverfahren mitwirken muessen und keinen Kontakt zu Beteiligten aufnehmen duerfen sagt Gerichtssprecherin Birgit Borns. Die Kriminalbeamten des Stadtpolizeikommandos Wiener Neustadt ermitteln gegen Akas M. und Beteiligte wegen versuchten Mordes. Der Messerangriff hatte sich wie berichtet Samstagabend gegen 20.30 Uhr auf einem Werksgelaende in der Kaserngasse abgespielt. Das Opfer hat in der Gewerbezone eine Garage gemietet und sich dort aufgehalten. Der 19-Jaehrige soll mit seinen Komplizen aufgetaucht sein und nicht lange gefackelt haben. Er steht im Verdacht, seinem Stiefvater ein Messer zwei Mal in den Bauch und einmal in den Oberschenkel gerammt zu haben. Anschliessend fluechteten alle drei Verdaechtigen vom Tatort.",,,,,1343.0,False
kurier,https://kurier.at/kultur/trenklers-tratsch-ich-hab-geglaubt-mir-hauts-das-heu-raus/402438504,"politik, ns, us, ss, regierung, neos, sp, werner kogler",2023-05-05 00:00:00,,2024-10-24,"05.05.23, 16:16",,,"Trenklers Tratsch: Ich habâ€™ geglaubt, mir hautâ€™s das Heu raus!","Das Forum Kultur der Gruenen kostete 186.069,70 Euro. Die Kultursprecherin der Neos kommt aus dem Staunen nicht heraus.","Die Kollegin von der Presse war erbost wie selten: Almuth Spiegler vernichtete das erste ,Forum Kulturâ€˜ der Gruenen, das am 28. Februar im halb vollen Volkstheater stattgefunden hat, als Veranstaltung von sonderlicher Peinlichkeit, die sich nicht haette entscheiden koennen, ob sie unter anderem Kabarett-Preis-Gala, dadaistischer Club Zwei oder Wahlveranstaltung (ohne Wahl) sein wollte. Auch Ihr Tratschpartner war vom Forum Kultur wenig begeistert. Denn eigentlich sollte es, wie im Regierungsprogramm festgehalten, um die Entwicklung einer oesterreichweiten Kulturstrategie gehen. Und das Forum Kultur sollte dem Austausch dienen  aller fuer den Bereich Kunst und Kultur relevanten Akteur:innen in Politik, Kultur, Wissenschaft, Zivilgesellschaft und Medien, wie es Vizekanzler Werner Kogler ausdrueckte. Auf der Buehne praesentierten sich jedoch nur Gruen-Politiker, also Kogler und Kulturstaatssekretaerin Andrea Mayer. Alle anderen Parteien durften still zuhoeren. Das Interesse war daher gering. Julia Seidl, neue Kultursprecherin der Neos, ging trotzdem  und auch sie war von der Parteiveranstaltung unangenehm beruehrt. Die kantige Tirolerin konstatierte in erster Linie Geschwurbel. Sie brachte daher eine parlamentarische Anfrage ein. Und nun liegen die Antworten von Kogler vor. Man muss ihm zugutehalten, dass er erschoepfend Auskunft gibt. Hochachtung! Immerhin geht es um Steuergeld. Im Falle des Forums Kultur um 186.069,70 Euro. Nach Lektuere der detaillierten Liste stellte Seidl fest: Ich habâ€™ geglaubt, mir hautâ€™s das Heu raus!",,,,,1554.0,False
kurier,https://kurier.at/chronik/niederoesterreich/noe-der-grosse-eisenbahnraub-und-seine-mysterioesen-wendungen/401052901,"ns, us, rna, ss, schi, sp",2020-10-04 00:00:00,,2024-10-24,"04.10.20, 05:00",,,NOe: Der grosse Eisenbahnraub und seine mysterioesen Wendungen,Vor 30 Jahren erbeuteten drei Maenner aus einem fahrenden Zug 35 Millionen Schilling. Die Beute ist bis heute verschwunden.,"Als sich der Regionalzug 2053 in den Abendstunden des 9. April 1990 in St. Poelten in Bewegung setzte, machten sich drei Maenner fuer den spektakulaersten Coup in der oesterreichischen Kriminalgeschichte bereit. Zwei Jahre lang hatten sie jedes Detail geplant, nur der Drahtzieher des Verbrechens blieb dezent im Hintergrund. Er wollte sich nicht die Finger schmutzig machen. Den kurzen Halt in Kirchstetten in Niederoesterreich nutzte das Trio, um das rollende Postamt zu entern. Ein Raeuber kletterte blitzschnell durch ein Klofenster in den Waggon und oeffnete seinen Komplizen von innen die Tuer.",,,,,600.0,False
kurier,https://kurier.at/chronik/niederoesterreich/sankt-poelten/st-poeltner-studierende-verpassen-schulklos-design-update/401767098,"ns, christ, us, rna, usa, ss, sp",2021-10-12 00:00:00,,2024-10-24,"12.10.21, 14:44",,,St. Poeltner Studierende verpassen Schulklos Design-Update,"Die NDU entwickelte mit Badezimmerausstatter LAUFEN neue Konzepte fuer Schul-Sanitaerraeume. Die Ergebnisse sind in der Ausstellung ""NULL NULL"" zu sehen.","Der KURIER berichtet verstaerkt aus der Landeshauptstadt St. Poelten. Wenn Sie ueber alle wichtigen Themen in der Stadt informiert bleiben wollen, dann koennen Sie sich hier oder am Ende des Artikels fuer den woechentlichen Newsletter ""Ganz St. Poelten"" anmelden. Dass auch Sanitaerbereiche in Schulen modern und interessant gestaltet sein koennen, zeigt die Ausstellung ""NULL NULL - Neue Sanitaerraeume fuer Schulen"". Der Masterstudiengang Innearchitektur und visuelle Kommunikation der New Design University (NDU) St. Poelten ist mit dem Schweizer Sanitaerkeramikhersteller LAUFEN eine Programmpartnerschaft zum Thema eingegangen.",,,,,632.0,False
