iter	Passed	Remaining
0	287	286901
1	418	208941
2	560	186317
3	696	173402
4	826	164529
5	959	158894
6	1094	155260
7	1237	153495
8	1371	150981
9	1500	148517
10	1629	146471
11	1777	146311
12	1922	145946
13	2051	144499
14	2185	143494
15	2319	142620
16	2449	141664
17	2579	140720
18	2714	140136
19	2854	139891
20	2986	139232
21	3119	138667
22	3251	138124
23	3383	137597
24	3516	137152
25	3644	136539
26	3774	136005
27	3907	135647
28	4038	135204
29	4171	134883
30	4303	134515
31	4436	134205
32	4569	133904
33	4701	133583
34	4835	133329
35	4972	133151
36	5102	132806
37	5239	132643
38	5372	132374
39	5505	132120
40	5636	131833
41	5769	131604
42	5898	131277
43	6035	131138
44	6168	130909
45	6301	130683
46	6438	130547
47	6572	130350
48	6705	130134
49	6837	129907
50	6973	129762
51	7108	129601
52	7245	129463
53	7382	129323
54	7515	129126
55	7649	128956
56	7790	128882
57	7949	129113
58	8126	129607
59	8333	130564
60	8611	132565
61	8798	133110
62	8970	133412
63	9159	133950
64	9351	134510
65	9519	134718
66	9685	134876
67	9848	134981
68	10014	135129
69	10206	135601
70	10410	136221
71	10612	136788
72	10840	137660
73	11130	139282
74	11325	139682
75	11513	139977
76	11699	140241
77	11917	140873
78	12105	141133
79	12336	141875
80	12533	142199
81	12718	142388
82	12896	142484
83	13064	142463
84	13235	142472
85	13390	142314
86	13540	142098
87	13712	142107
88	13892	142200
89	14059	142155
90	14230	142144
91	14420	142327
92	14603	142424
93	14792	142571
94	14953	142456
95	15108	142268
96	15273	142180
97	15435	142067
98	15600	141979
99	15767	141903
100	15965	142104
101	16199	142615
102	16421	143010
103	16584	142880
104	16752	142791
105	16914	142653
106	17149	143125
107	17344	143249
108	17506	143104
109	17672	142986
110	17834	142837
111	18008	142785
112	18196	142830
113	18364	142726
114	18550	142759
115	18715	142626
116	18891	142577
117	19053	142417
118	19230	142369
119	19410	142346
120	19589	142310
121	19760	142207
122	19972	142402
123	20141	142289
124	20324	142270
125	20520	142338
126	20688	142216
127	20882	142262
128	21076	142303
129	21260	142282
130	21514	142719
131	21678	142550
132	21845	142404
133	22010	142246
134	22174	142079
135	22338	141913
136	22504	141758
137	22691	141741
138	22874	141693
139	23041	141542
140	23204	141368
141	23371	141214
142	23540	141077
143	23705	140918
144	23871	140760
145	24046	140654
146	24244	140685
147	24417	140567
148	24584	140411
149	24787	140463
150	25010	140621
151	25239	140812
152	25439	140832
153	25680	141074
154	25886	141123
155	26063	141007
156	26237	140881
157	26466	141042
158	26718	141323
159	27039	141958
160	27210	141796
161	27405	141765
162	27592	141685
163	27811	141771
164	27999	141693
165	28182	141593
166	28356	141442
167	28580	141539
168	28906	142135
169	29115	142151
170	29332	142204
171	29567	142335
172	29784	142380
173	29969	142270
174	30200	142373
175	30391	142286
176	30573	142156
177	30759	142046
178	30940	141911
179	31119	141764
180	31294	141604
181	31482	141496
182	31676	141419
183	31870	141337
184	32053	141207
185	32213	140978
186	32395	140843
187	32560	140634
188	32759	140571
189	32932	140398
190	33215	140688
191	33442	140737
192	33622	140589
193	33783	140358
194	33976	140261
195	34132	140011
196	34306	139838
197	34484	139680
198	34661	139518
199	34851	139404
200	35043	139303
201	35271	139338
202	35509	139413
203	35725	139398
204	35918	139292
205	36140	139298
206	36391	139414
207	36583	139296
208	36783	139212
209	36965	139061
210	37148	138912
211	37329	138752
212	37499	138553
213	37652	138294
214	37819	138084
215	37975	137837
216	38135	137605
217	38315	137443
218	38487	137253
219	38686	137161
220	38851	136948
221	39007	136703
222	39193	136561
223	39362	136361
224	39566	136285
225	39732	136074
226	39902	135879
227	40077	135702
228	40261	135552
229	40446	135406
230	40627	135248
231	40839	135191
232	41033	135075
233	41212	134908
234	41503	135108
235	41696	134982
236	41870	134797
237	42027	134557
238	42191	134340
239	42361	134143
240	42539	133973
241	42809	134089
242	43175	134501
243	43404	134483
244	43616	134409
245	43860	134433
246	44096	134431
247	44305	134346
248	44476	134144
249	44684	134053
250	44876	133913
251	45058	133745
252	45234	133558
253	45409	133369
254	45584	133178
255	45746	132950
256	45911	132732
257	46082	132531
258	46241	132296
259	46418	132114
260	46600	131946
261	46793	131807
262	46989	131679
263	47182	131540
264	47394	131452
265	47571	131267
266	47753	131099
267	47930	130915
268	48124	130777
269	48308	130610
270	48532	130554
271	48753	130486
272	48961	130385
273	49203	130372
274	49397	130229
275	49584	130069
276	49853	130123
277	50063	130020
278	50300	129987
279	50516	129899
280	50690	129701
281	50885	129559
282	51069	129387
283	51271	129261
284	51458	129097
285	51643	128928
286	51823	128747
287	52005	128569
288	52183	128382
289	52358	128189
290	52546	128026
291	52753	127909
292	52961	127793
293	53137	127602
294	53297	127372
295	53455	127136
296	53623	126926
297	53783	126698
298	53939	126461
299	54118	126276
300	54300	126099
301	54525	126023
302	54752	125949
303	54976	125868
304	55181	125741
305	55390	125625
306	55609	125529
307	55827	125430
308	56117	125493
309	56339	125401
310	56534	125248
311	56741	125123
312	56949	124998
313	57162	124883
314	57355	124725
315	57535	124538
316	57711	124344
317	57890	124156
318	58061	123949
319	58228	123736
320	58402	123537
321	58562	123308
322	58741	123120
323	58941	122977
324	59145	122839
325	59335	122674
326	59563	122588
327	59754	122423
328	59929	122226
329	60110	122041
330	60331	121938
331	60523	121776
332	60687	121558
333	60855	121347
334	61017	121124
335	61196	120936
336	61390	120777
337	61562	120574
338	61723	120352
339	61890	120141
340	62078	119969
341	62276	119817
342	62475	119669
343	62706	119580
344	62916	119450
345	63097	119266
346	63261	119047
347	63444	118866
348	63639	118708
349	63805	118495
350	63973	118286
351	64151	118097
352	64342	117931
353	64522	117745
354	64790	117718
355	64988	117563
356	65182	117401
357	65408	117296
358	65632	117187
359	65841	117051
360	66011	116845
361	66189	116653
362	66365	116458
363	66541	116263
364	66710	116057
365	66890	115870
366	67068	115680
367	67226	115454
368	67385	115230
369	67573	115057
370	67752	114868
371	67934	114684
372	68119	114506
373	68302	114323
374	68535	114225
375	68761	114114
376	68969	113973
377	69154	113793
378	69344	113622
379	69510	113411
380	69667	113186
381	69874	113042
382	70067	112876
383	70219	112643
384	70379	112424
385	70553	112227
386	70885	112281
387	71123	112184
388	71330	112038
389	71528	111877
390	71706	111685
391	71877	111482
392	72123	111397
393	72298	111199
394	72492	111033
395	72685	110864
396	72862	110670
397	73022	110450
398	73174	110220
399	73346	110019
400	73552	109869
401	73763	109728
402	73983	109598
403	74183	109439
404	74341	109218
405	74525	109034
406	74709	108851
407	74877	108645
408	75037	108427
409	75215	108237
410	75407	108065
411	75613	107914
412	75825	107771
413	76037	107628
414	76294	107547
415	76488	107377
416	76680	107204
417	76847	106998
418	77029	106811
419	77225	106645
420	77420	106476
421	77594	106278
422	77756	106064
423	77920	105854
424	78114	105684
425	78292	105492
426	78454	105279
427	78615	105065
428	78780	104857
429	78943	104646
430	79107	104436
431	79267	104221
432	79444	104030
433	79645	103869
434	79909	103790
435	80160	103693
436	80375	103549
437	80610	103431
438	80835	103300
439	81160	103295
440	81439	103230
441	81611	103029
442	81779	102824
443	81954	102627
